Unnamed: 0,Team,Player,Allstars,College,Play_Yrs,Games,Year,Pick,Player_ID,Season_ID,Conference,League_ID,Games_Played,Minutes,Points,O_Rebounds,D_Rebounds,Rebounds,Assists,Steals,Blocks,Turnovers,Personal_Fouls,FG_Attempted,FG_Made,FT_Attempted,FT_Made,Three_Attempted,Three_Made
128.0,FTW,Murray Wier,False,University of Iowa,1.0,56.0,1948.0,48.0,,,,,,,,,,,,,,,,,,,,,
129.0,INJ,Reede Berg,False,University of Oregon,,,1948.0,49.0,,,,,,,,,,,,,,,,,,,,,
130.0,INJ,Jack Coleman,True,Louisiana State University,,,1948.0,50.0,colemja01,1954.0,West,NBA,1.0,19.0,6.0,,,6.0,1.0,,,,,8.0,2.0,3.0,2.0,,
165.0,PRO,Jack Coleman,True,University of Louisville,9.0,633.0,1948.0,85.0,colemja01,1954.0,West,NBA,1.0,19.0,6.0,,,6.0,1.0,,,,,8.0,2.0,3.0,2.0,,
212.0,ROC,Jack Coleman,True,University of Louisville,9.0,633.0,1949.0,17.0,colemja01,1954.0,West,NBA,1.0,19.0,6.0,,,6.0,1.0,,,,,8.0,2.0,3.0,2.0,,
131.0,INJ,Alex Hannum,False,University of Southern California,8.0,516.0,1948.0,51.0,,,,,,,,,,,,,,,,,,,,,
132.0,INJ,Norman Kohler,False,University of North Carolina,,,1948.0,52.0,,,,,,,,,,,,,,,,,,,,,
133.0,INJ,Andy Kostecka,False,Georgetown University,1.0,21.0,1948.0,53.0,,,,,,,,,,,,,,,,,,,,,
134.0,INJ,Ray Lumpp,False,New York University,5.0,300.0,1948.0,54.0,,,,,,,,,,,,,,,,,,,,,
135.0,INJ,Bob Paxton,False,University of North Carolina,,,1948.0,55.0,,,,,,,,,,,,,,,,,,,,,
136.0,INJ,Jack Phoenix,False,University of Idaho,,,1948.0,56.0,,,,,,,,,,,,,,,,,,,,,
137.0,INJ,Dick Wehr,False,Rice University,1.0,9.0,1948.0,57.0,,,,,,,,,,,,,,,,,,,,,
138.0,MNL,Cliff Crandall,False,Oregon State University,,,1948.0,58.0,,,,,,,,,,,,,,,,,,,,,
139.0,MNL,Arnie Ferrin,False,University of Utah,3.0,178.0,1948.0,59.0,,,,,,,,,,,,,,,,,,,,,
140.0,MNL,Earl Gardner,False,DePauw University,1.0,50.0,1948.0,60.0,,,,,,,,,,,,,,,,,,,,,
141.0,MNL,Dee Gibson,False,Western Kentucky University,1.0,44.0,1948.0,61.0,,,,,,,,,,,,,,,,,,,,,
142.0,MNL,Ken Jastrow,False,University of Denver,,,1948.0,62.0,,,,,,,,,,,,,,,,,,,,,
143.0,MNL,Bob Lowther,False,Louisiana State University,,,1948.0,63.0,,,,,,,,,,,,,,,,,,,,,
